1~1~Level 1 - Level 3
2~2~Level 1 - Level 3
3~3~Level 1 - Level 3
4~4~Level 4 - Level 6
5~5~Level 4 - Level 6
6~6~Level 4 - Level 6
7~7~Level 7 - Level 9
8~8~Level 7 - Level 9
9~9~Level 7 - Level 9
10~10~Level 10 - Level 12
11~11~Level 10 - Level 12
12~12~Level 10 - Level 12
13~13~Level 13 - Level 15
14~14~Level 13 - Level 15
15~15~Level 13 - Level 15
16~16~Level 16 - Level 18
17~17~Level 16 - Level 18
18~18~Level 16 - Level 18
19~19~Level 19 - Level 21
20~20~Level 19 - Level 21
21~21~Level 19 - Level 21
22~22~Level 22 - Level 24
23~23~Level 22 - Level 24
24~24~Level 22 - Level 24
25~25~Level 25 - Level 27
26~26~Level 25 - Level 27
27~27~Level 25 - Level 27
